date,close,天然橡胶：产量：中国（月）,天然橡胶：表观消费量环比：中国（月）,天然橡胶：表观消费量同比：中国（月）,天然橡胶：表观消费量：中国（月）,天然橡胶：厂内库存：上交所（周）,天然橡胶：厂库期货库存：上交所（周）,天然橡胶：厂库期货库存：上海国际能源（周）,天然橡胶：厂内库存：上海国际能源（周）,丁二烯：产量：中国（月）,丁二烯：港口库存：中国（周）,丁二烯：期末库存：中国（月）,SBS：产能：中国（日）,SBS：开工率同比：中国（月）,SBS：开工率：中国（日）,SBS：产量：中国（日）,SBS：表观消费量：中国（月）,SBS：需求量：中国：新口径（月）,SBS：贸易商：库存：中国（周）,SBS：社会库存：中国（周）,SBS：中国企业：库存（周）,SEBS：开工率：中国（月）,SEBS：产量：中国（月）,SEBS：中国企业：库存（月）,SIS：产量：中国（月）,SIS：中国企业：库存（月）,SIS：开工率：中国（月）,丁苯橡胶：产量同比：中国（月）,丁苯橡胶：产能：中国（日）,丁苯橡胶：开工率环比：中国（周）,丁苯橡胶：开工率：中国（月）,丁苯橡胶：产量：中国（日）,丁苯橡胶：表观消费量同比：中国（月）,丁苯橡胶：表观消费量环比：中国（月）,丁苯橡胶：表观消费量：中国（月）,丁苯橡胶：需求量：中国：新口径（月）,丁苯橡胶：期末库存：中国（月）,丁苯橡胶：现货库存：中国（周）,丁苯橡胶：库存：中国（周）,丁苯橡胶：贸易商：社会库存：中国（周）,丁苯胶乳：产能：中国（月）,丁苯胶乳：开工率：中国（月）,丁吡胶乳：产能：中国（月）,丁腈胶乳：产量同比：中国（月）,丁腈胶乳：产能：中国（月）,丁腈胶乳：开工率：中国（月）,高顺顺丁橡胶：产量：中国（月）,高顺顺丁橡胶：产能：中国（日）,高顺顺丁橡胶：开工率：中国（周）,其他高顺顺丁橡胶：开工率：中国（月）,顺丁橡胶：产量：中国（日）,顺丁橡胶：开工率同比：中国（月）,顺丁橡胶：开工率：中国（月）,顺丁橡胶：总开工率：中国（日）,顺丁橡胶：产量：中国（月）,顺丁橡胶：需求量：中国：新口径（月）,顺丁橡胶：表观消费量：中国：新口径（月）,顺丁橡胶：库存环比：中国（周）,顺丁橡胶：贸易商：库存：中国（周）,二甲基环硅氧烷的混合物：开工率：中国（日）,丁腈橡胶：开工率：中国：新口径（月）,丁腈橡胶：产量：中国（月）,下游行业：丁腈橡胶保温发泡：开工率：中国（月）,丁腈橡胶：表观消费量：中国（月）,丁腈橡胶：需求量：中国：新口径（月）,下游行业：丁腈橡胶：橡胶管：开工率：中国（月）,丁腈橡胶：库存：中国（周）,产业在线：FKM：产量：中国（月）,异戊橡胶：产量：中国：新口径（月）,氯丁橡胶：产量：中国（月）,三元乙丙橡胶：产量：中国（月）,三元乙丙橡胶：国内企业：开工率（月）,乙丙橡胶：表观消费量：中国（月）,丁基橡胶：产量：中国（日）,丁基橡胶：开工率：中国（周）,丁基橡胶：表观消费量：中国（月）,丁基橡胶：社会库存：中国（周）,丁基橡胶：中国企业：库存（周）,全钢轮胎：产量同比：中国（月）,全钢轮胎：开工率环比：中国（周）,全钢轮胎：开工率：中国（月）,全钢轮胎：产量：中国（月）,下游行业：丁基橡胶：全钢轮胎：开工率：中国（周）,全钢轮胎：社会库存：中国（月）,半钢轮胎：产量同比：中国（月）,半钢轮胎：开工率环比：中国（周）,半钢轮胎：开工率：中国（月）,下游行业：丁基橡胶：半钢轮胎：开工率：中国（周）,半钢轮胎：产量：中国（月）,新的充气橡胶轮胎：出口数量终值：中国（月）,新的充气橡胶轮胎：出口数量终值同比：中国（月）,全钢轮胎：出口数量：中国→美国：新口径（月）,半钢轮胎：出口数量：中国→美国：新口径（月）,轮胎：出口数量合计：中国：新口径（月）,轮胎：进口数量合计：中国：新口径（月）,隆众：汽车：产量：中国（月）,轮胎：看跌比例：中国（周）,轮胎：看平比例：中国（周）,轮胎：看升比例：中国（周）,轮胎：产量同比：中国（月）,汽车轮胎：库存预警指数：中国（月）,统计局：轮胎：产量同比：中国（月）,统计局：轮胎：产量：中国（月）,输送带：开工率：中国企业（月）,输送带：产量：中国（月）,初级形状或板、片、带状再生橡胶：出口数量合计：中国（月）,初级形状或板、片、带状再生橡胶：进口数量合计：中国（月）,再生胶：出口数量合计：中国（月）,再生胶：进口数量合计：中国（月）
"2017-11-22","13390","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-23","13725","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-24","13845","","","","","322408","222420","","","","28500","","","","","","","","3513","7729","6160","","","","","","","","","-5.36","","","","","","","","27463.62","22813.62","4650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.5","","","","","69.5","","","","","","","","","","","","","","","","","","","","",""
"2017-11-27","13410","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-28","13545","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-29","14210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-30","13915","106000","","","651487.02","","","","","23.11","","39770","","","","","57334","3.4","","","","84.27","11300","","9750","","76","","","","62","","","","12.09","5.12","","","","","","","","","","","78607","","","44.43","","","","","","7.72","94900","","","","61.5","0.71","","20256.32","0.81","","","0.935","6100","0.34","1.5","45.41","34451.514","","","32079.899","","","","","","1212","","","4.64","","69.7","","4420","4015","-2","49845.11","12749.45","484589","11638","308.03","","","","","49.8","3.5","7933.4","","","9201.805","6005.967","9241.3","6005.97"
"2017-12-01","14525","","","","","338328","238710","","","","25300","","","","","","","","2921","7471","5500","","","","","","","","","13.21","","","","","","","","25160","20725","4435","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","","","","","69","","","","","","","","","","","","","","","","","","","","",""
"2017-12-04","14925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-05","14715","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-06","14330","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-07","13970","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-08","14065","","","","","347129","252960","","","","26100","","","","","","","","3630","8347","6100","","","","","","","","","0","","","","","","","","22546","18566","3980","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.21","","","","","62.57","","","","","","","","","","","","","","","","","","","","",""
"2017-12-11","14020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-12","14165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-13","14080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-14","14280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-15","14415","","","","","359132","270650","","","","26400","","","","","","","","2351","5892","4770","","","","","","","","","-3.33","","","","","","","","23290","19550","3740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.02","","","","","67.84","","","","","","","","","","","","","","","","","","","","",""
"2017-12-18","14560","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-19","14420","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-20","14470","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-21","14365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-22","14005","","","","","373218","283620","","","","22900","","","","","","","","2938","6043","6585","","","","","","","","","0","","","","","","","","22510","18980","3530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.5","","","","","68.5","","","","","","","","","","","","","","","","","","","","",""
"2017-12-25","14030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-26","14315","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-27","14170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-28","14200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-29","14105","","","","","383349","305290","","","","19400","","","","","","","","3393","5891","4130","","","","","","","","","0","","","","","","","","20900","17350","3550","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.5","","","","","67","","","","","","","","","","","","","","","","","","","","",""
"2017-12-31","","38000","","","745393.08","","","","","23.47","","35780","","","","","62611","3.71","","","","96.94","13000","","9400","","79.2","","","","58","","","","11.82","5.01","","","","","","","","","","","82012","","","45","","","","","","8.37","97800","","","","63.5","1.01","","19469.499","0.83","","","1.035","5600","0.37","1.6","48.65","35147.915","","","33312.938","","","","","","1208","","","0.38","","66.5","","4223","4590","13","55449.45","15131.07","571388","11720","304.14","","","","","47.7","-0.1","7763.2","","","10491.969","6211.137","10513.77","6211.4"
"2018-01-02","14340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-03","14295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-04","14115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-05","14090","","","","","396857","313280","","","","23800","","","","","","","","3409","7009","5650","","","","","","","","","6.9","","","","","","","","20480","15890","4590","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","","","","","66","","","","","","","","","","","","","","","","","","","","",""
"2018-01-08","14075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-09","14075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-10","14035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-11","14170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-12","14295","","","","","405040","333160","","","","26400","","","","","","","","4354","8140","6450","","","","","","","","","0","","","","","","","","21190","16280","4910","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","","","","","71","","","","","","","","","","","","","","","","","","","","",""
"2018-01-15","14445","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-16","14225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-17","14145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-18","14165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-19","14065","","","","","415415","348830","","","","24700","","","","","","","","4601","8596","6095","","","","","","","","","-1.61","","","","","","","","19324","15084","4240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","","","","","70.5","","","","","","","","","","","","","","","","","","","","",""
"2018-01-22","14075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-23","13795","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-24","13775","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-25","13755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-26","13770","","","","","419310","362750","","","","23500","","","","","","","","6469","11491","7170","","","","","","","","","-4.92","","","","","","","","19970","15590","4380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.5","","","","","71","","","","","","","","","","","","","","","","","","","","",""
"2018-01-29","13770","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-30","13395","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-31","13120","600","","","561359.19","","","","","23.35","","42300","","","","","70335.9","3.98","","","","46.8","5850","","11250","","79.42","-18.22","","","59","","","","11.72","4.8","","","","","0.79","26.53","1.05","","2.58","83.72","81950","","","36.9","","","","","87450","8.06","102717","","","","74","1.3","","21646.818","0.95","","","0.965","5486","0.36","1.6","48.65","36236.691","","","38037.195","","","","","","1146","","","15.87","","69.63","","4265","4221","3","48554.77","13322.66","464440","8913","268.83","","","","","67.2","","7146","","","10000.831","7546.311","10000.83","7546.31"
"2018-02-01","12955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-02","13005","","","","","426498","372280","","","","24900","","","","","","","","7170","11588","7330","","","","","","","","","0","","","","","","","","17470","13330","4140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","","","","","71","","","","","","","","","","","","","","","","","","","","",""
"2018-02-05","13055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-06","12585","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-07","12655","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-08","12390","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-09","12450","","","","","432050","379390","","","","34000","","","","","","","","8432","12482","8500","","","","","","","","","-3.45","","","","","","","","20800","15560","5240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","30","","","","","","","","","","","","","","","","","","","","",""
"2018-02-12","12520","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-13","12450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-14","12500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-16","","","","","","434330","389480","","","","34000","","","","","","","","8292","12482","9100","","","","","","","","","-10.71","","","","","","","","20800","15560","5240","","","","","","","","","","","","","","","","","","","4570","","","","","","","","","","","","","","","","","","","","","","","","54","","","","","56","","","","","","","","","","","","","","","","","","","","",""
"2018-02-22","12500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-23","12850","","","","","434550","390380","","","","34000","","","","","","","","8292","12482","9300","","","","","","","","","0","","","","","","","","20800","15560","5240","","","","","","","","","","","","","","","","","","","4570","","","","","","","","","","","","","","","","","","","","","","","","61","","","","","59","","","","","","","","","","","","","","","","","","","","",""
"2018-02-26","12935","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-27","12885","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-28","13030","0","","","287731.22","","","","","22.32","","59200","","","","","67646","4.15","","","","58.4","7300","","9250","","65.3","-17.9","","","50","","","","9.52","4.08","","","","","0.79","16.42","1.05","","2.58","71.71","72100","","","23.47","","","","","78900","7.3","88976","","","","69.5","1.22","","18662.435","0.8","","","0.95","5080","0.36","1.55","48.65","28126.307","","","30537.115","","","","","","820","","","-18.37","","54.75","","3354","3345","26","40148.72","8837.23","368014","8071","170.57","","","","","52.3","","5614","","","9825.308","4746.797","9819.72","4746.8"
"2018-03-01","13010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-02","12950","","","","","437115","396560","","","","40200","","","","","","","","9857","15557","9750","","","","","","","","","0","","","","","","","","25490","18880","6610","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","","","","","59","","","","","","","","","","","","","","","","","","","","",""
"2018-03-05","13055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-06","12930","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-07","12865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-08","12910","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-09","12620","","","","","437896","398660","","","","36800","","","","","","","","11428","17538","11150","","","","","","","","","12","","","","","","","","26270","19370","6900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.5","","","","","71","","","","","","","","","","","","","","","","","","","","",""
"2018-03-12","12695","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-13","12695","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-14","12775","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-15","12810","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-16","12580","","","","","438248","402830","","","","35500","","","","","","","","12110","18960","12750","","","","","","","","","21.43","","","","","","","","28708","21052","7656","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.5","","","","","72","","","","","","","","","","","","","","","","","","","","",""
"2018-03-19","12510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-20","12240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-21","12130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-22","12130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-23","11305","","","","","439942","409220","","","","31200","","","","","","","","13035","21620","14700","","","","","","","","","-11.76","","","","","","","","29886.87","22216.87","7670","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","","","","","70","","","","","","","","","","","","","","","","","","","","",""
"2018-03-26","11020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-27","11175","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-28","11075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-29","11100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-30","11290","","","","","442770","416560","","","","37300","","","","","","","","9640","17260","14100","","","","","","","","","0","","","","","","","","30142.61","22342.61","7800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","","","","","70","","","","","","","","","","","","","","","","","","","","",""
