date,close,初榨棕榈油：产量：马来西亚（月）,棕榈仁油：产量：马来西亚（月）,棕榈仁油：出油率：马来西亚（月）,棕榈油：出油率：马来西亚（月）,棕榈油：单产：马来西亚（月）,印尼棕榈油协会：棕榈油：期初库存（月）,印尼棕榈油协会：毛棕榈仁油：产量（月）,印尼棕榈油协会：毛棕榈油：产量（月）,印尼棕榈油协会：棕榈油：产量（月）,印尼棕榈油协会：棕榈油：消费量（月）,印尼棕榈油协会：棕榈油：需求量（月）,印尼棕榈油协会：棕榈油：期末库存（月）,马来西亚棕榈油局：初榨棕榈油：炼油厂：产量：马来西亚（月）,马来西亚棕榈油局：毛棕榈仁油：炼油厂：产量：马来西亚（月）,马来西亚棕榈油局：初榨棕榈油：提取率：马来西亚（月）,马来西亚棕榈油局：毛棕榈仁油：提取率：马来西亚（月）,马来西亚棕榈油局：棕榈油：精炼厂：产能：马来西亚（月）,马来西亚棕榈油局：棕榈油：化工生产企业：产能：马来西亚（月）,马来西亚棕榈油局：初榨棕榈油：平均产量：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：RBD：24度：产量：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：RBD：44度：产量：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：RBD：产量：马来西亚（月）,马来西亚棕榈油局：棕榈液油：24度：产量：马来西亚（月）,马来西亚棕榈油局：棕榈油硬脂：44度：产量：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：烹饪用：产量：马来西亚（月）,马来西亚棕榈油局：棕榈油脂肪酸：产量：马来西亚（月）,马来西亚棕榈油局：初榨棕榈油：产量：马来西亚（月）,马来西亚棕榈油局：毛棕榈仁油：产量：马来西亚（月）,棕榈油：24度：成交量合计（日）,USDA：棕榈油：非食用级加工使用量（月）,USDA：棕榈油：食品级加工使用量（月）,USDA：棕榈油：精炼：加工使用量（月）,USDA：棕榈仁油：精炼：加工使用量（月）,棕榈油：库存：中国（周）,精炼棕榈仁油：库存：马来西亚（月）,精炼棕榈油：库存：马来西亚（月）,毛棕榈仁油：库存：马来西亚（月）,初榨棕榈油：库存：马来西亚（月）,棕榈仁油：库存：马来西亚（月）,棕榈油：库存：马来西亚（月）,USDA：棕榈油：精炼：期末库存（月）,USDA：棕榈仁油：精炼：期末库存（月）,马来西亚棕榈油局：精炼棕榈油：RBD：24度：库存：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：RBD：44度：库存：马来西亚（月）,马来西亚棕榈油局：棕榈液油：24度：库存：马来西亚（月）,马来西亚棕榈油局：棕榈油硬脂：44度：库存：马来西亚（月）,马来西亚棕榈油局：棕榈油脂肪酸：库存：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：烹饪用：库存：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：RBD：库存：马来西亚（月）
"2016-12-30","6202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","33.52","","","","","","","","","","","","","","",""
"2016-12-31","","1473717","159877","45.85","19.98","0.27","","","","","","","","","","","","","","","","","","","","","","","","","5534","159763","165297","34970","","99929","788741","125636","876647","225565","1665388","437231","76215","","","","","","",""
"2017-01-03","6240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","","","","","","","","","","","","","","","","","","","",""
"2017-01-04","6170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1700","","","","","","","","","","","","","","","","","","","",""
"2017-01-05","6134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-01-06","6066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","45.75","","","","","","","","","","","","","","",""
"2017-01-09","6132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-01-10","6190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-01-11","6254","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1500","","","","","","","","","","","","","","","","","","","",""
"2017-01-12","6270","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-01-13","6268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","48.25","","","","","","","","","","","","","","",""
"2017-01-16","6320","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-01-17","6318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-01-18","6312","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-01-19","6306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","","","","","","","","","","","","","","","","","","","",""
"2017-01-20","6282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","54.15","","","","","","","","","","","","","","",""
"2017-01-23","6256","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-01-24","6372","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-25","6292","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-26","6208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-31","","1276849","144621","46.05","19.72","0.24","","","","","","","","","","","","","","","","","","","","","","","","","9987","160559","170546","25827","","99569","756988","119134","783844","218703","1540832","475025","71962","","","","","","",""
"2017-02-03","6122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-06","6140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-02-07","6124","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-02-08","6236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
"2017-02-09","6190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400","","","","","","","","","","","","","","","","","","","",""
"2017-02-10","6284","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3100","","","","","65.42","","","","","","","","","","","","","","",""
"2017-02-13","6146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-14","6088","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-02-15","6112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-02-16","6044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-02-17","5918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","60.09","","","","","","","","","","","","","","",""
"2017-02-20","5930","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","",""
"2017-02-21","5898","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","",""
"2017-02-22","5878","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-02-23","5790","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-02-24","5826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","68.37","","","","","","","","","","","","","","",""
"2017-02-27","5806","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2017-02-28","5786","1258539","147844","46.02","19.54","0.22","","","","","","","","","","","","","","","","","","","","","","","","100","6409","170575","176984","35371","","94107","692343","104899","766713","199006","1459056","438006","62105","","","","","","",""
"2017-03-01","5856","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-03-02","5876","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-03-03","5896","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","58.445","","","","","","","","","","","","","","",""
"2017-03-06","5934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2300","","","","","","","","","","","","","","","","","","","",""
"2017-03-07","5876","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","",""
"2017-03-08","5822","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","","","","","","","","","","","","","","","","","","","",""
"2017-03-09","5882","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","","","","","","","","","","","","","","","","","","","",""
"2017-03-10","5758","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","53.065","","","","","","","","","","","","","","",""
"2017-03-13","5820","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-03-14","5754","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-03-15","5838","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300","","","","","","","","","","","","","","","","","","","",""
"2017-03-16","5914","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-03-17","5904","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","56.93","","","","","","","","","","","","","","",""
"2017-03-20","5642","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2017-03-21","5626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","","","","","","","","","","","","","","","","","","","",""
"2017-03-22","5646","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2017-03-23","5540","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-03-24","5516","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","57.39","","","","","","","","","","","","","","",""
"2017-03-27","5408","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-03-28","5416","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2017-03-29","5442","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-03-30","5350","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-03-31","5328","1464021","170401","45.99","19.59","0.26","","","","","","","","","","","","","","","","","","","","","","","","0","13541","181738","195279","34726","56.24","95016","768717","135605","785389","230621","1554106","444173","65868","","","","","","",""
"2017-04-05","5396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","","","","","","","","","","","","","","","","","","","",""
"2017-04-06","5416","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2017-04-07","5350","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","58.13","","","","","","","","","","","","","","",""
"2017-04-10","5226","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-04-11","5234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4100","","","","","","","","","","","","","","","","","","","",""
"2017-04-12","5172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-04-13","5246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-04-14","5216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400","","","","","61.42","","","","","","","","","","","","","","",""
"2017-04-17","5228","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450","","","","","","","","","","","","","","","","","","","",""
"2017-04-18","5176","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2017-04-19","5126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","",""
"2017-04-20","5146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1700","","","","","","","","","","","","","","","","","","","",""
"2017-04-21","5164","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400","","","","","66","","","","","","","","","","","","","","",""
"2017-04-24","5190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
"2017-04-25","5070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-04-26","5110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1700","","","","","","","","","","","","","","","","","","","",""
"2017-04-27","5172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2017-04-28","5178","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","","","","","62.16","","","","","","","","","","","","","","",""
"2017-04-30","","1548026","170042","46.05","19.72","0.27","","","","","","","","","","","","","","","","","","","","","","","","","10974","167762","178736","26887","","120945","737911","121960","861983","242914","1599894","438334","72581","","","","","","",""
"2017-05-02","5246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4100","","","","","","","","","","","","","","","","","","","",""
"2017-05-03","5234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-05-04","5206","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","","","","","","","","","","","","","","","","","","","",""
"2017-05-05","5200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","58.785","","","","","","","","","","","","","","",""
"2017-05-08","5354","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900","","","","","","","","","","","","","","","","","","","",""
"2017-05-09","5370","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","","","","","","","","","","","","","","","","","","","",""
"2017-05-10","5354","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","","","","","","","","","","","","","","","","","","","",""
"2017-05-11","5514","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1700","","","","","","","","","","","","","","","","","","","",""
"2017-05-12","5492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","61.87","","","","","","","","","","","","","","",""
"2017-05-15","5472","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-05-16","5494","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-05-17","5536","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","","","","","","","","",""
"2017-05-18","5504","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","","","","","","","","","","","","","","","","","","","",""
"2017-05-19","5476","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","58.66","","","","","","","","","","","","","","",""
"2017-05-22","5554","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6800","","","","","","","","","","","","","","","","","","","",""
"2017-05-23","5488","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","",""
"2017-05-24","5450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","",""
"2017-05-25","5440","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000","","","","","","","","","","","","","","","","","","","",""
"2017-05-26","5380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","55.53","","","","","","","","","","","","","","",""
"2017-05-31","5244","1654494","194225","46.05","19.82","0.29","","","","","","","","","","","","","","","","","","","","","","","","1500","9016","188914","197930","28024","","125196","768334","123748","788702","248944","1557036","382521","62551","","","","","","",""
"2017-06-01","5226","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-06-02","5236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.96","","","","","","","","","","","","","","",""
"2017-06-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-06-05","5268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100","","","","","","","","","","","","","","","","","","","",""
"2017-06-06","5244","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
"2017-06-07","5178","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
"2017-06-08","5162","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","",""
"2017-06-09","5174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","59.35","","","","","","","","","","","","","","",""
"2017-06-12","5316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
"2017-06-13","5240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","","","","","","","","",""
"2017-06-14","5242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5200","","","","","","","","","","","","","","","","","","","",""
"2017-06-15","5238","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-06-16","5320","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3800","","","","","61.33","","","","","","","","","","","","","","",""
"2017-06-19","5380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200","","","","","","","","","","","","","","","","","","","",""
"2017-06-20","5270","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300","","","","","","","","","","","","","","","","","","","",""
"2017-06-21","5208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3500","","","","","","","","","","","","","","","","","","","",""
"2017-06-22","5180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","",""
"2017-06-23","5208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","","","","","57.63","","","","","","","","","","","","","","",""
"2017-06-26","5210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200","","","","","","","","","","","","","","","","","","","",""
"2017-06-27","5232","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3100","","","","","","","","","","","","","","","","","","","",""
"2017-06-28","5222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","",""
"2017-06-29","5268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
"2017-06-30","5304","1514255","171389","45.67","19.71","0.27","","","","","","","","","","","","","","","","","","","","","","","","2700","12661","182226","194887","23064","56.615","114474","728841","115112","798230","229586","1527071","360242","94369","","","","","","",""
"2017-07-03","5342","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
"2017-07-04","5272","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400","","","","","","","","","","","","","","","","","","","",""
"2017-07-05","5338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","","","","","","","","","","","","","","","","","","","",""
"2017-07-06","5412","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","","","","","","","","",""
"2017-07-07","5418","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","","","","","47.68","","","","","","","","","","","","","","",""
"2017-07-10","5502","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8800","","","","","","","","","","","","","","","","","","","",""
"2017-07-11","5510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","",""
"2017-07-12","5478","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","",""
"2017-07-13","5456","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
"2017-07-14","5396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","","","","","45.7","","","","","","","","","","","","","","",""
"2017-07-17","5426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
"2017-07-18","5336","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","",""
"2017-07-19","5366","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3300","","","","","","","","","","","","","","","","","","","",""
"2017-07-20","5410","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3500","","","","","","","","","","","","","","","","","","","",""
"2017-07-21","5406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700","","","","","43.719","","","","","","","","","","","","","","",""
"2017-07-24","5336","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-07-25","5382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1700","","","","","","","","","","","","","","","","","","","",""
"2017-07-26","5348","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-07-27","5450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-07-28","5388","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","","","","","41.68","","","","","","","","","","","","","","",""
"2017-07-31","5462","1826828","209435","45.89","19.71","0.32","","","","","","","","","","","","","","","","","","","","","","","","0","7059","174216","181275","39402","","111736","846580","115110","938502","226846","1785082","387990","86213","","","","","","",""
"2017-08-01","5428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2017-08-02","5402","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-08-03","5318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","","","","","","","","","","","","","","","","","","","",""
"2017-08-04","5352","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","","","34.14","","","","","","","","","","","","","","",""
"2017-08-07","5320","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-08-08","5384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000","","","","","","","","","","","","","","","","","","","",""
"2017-08-09","5440","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-08-10","5418","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","",""
"2017-08-11","5376","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","39.57","","","","","","","","","","","","","","",""
"2017-08-14","5456","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-08-15","5376","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-08-16","5292","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","","","","","","","","","","","","","","","","","","","",""
"2017-08-17","5340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100","","","","","","","","","","","","","","","","","","","",""
"2017-08-18","5416","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","41.04","","","","","","","","","","","","","","",""
"2017-08-21","5448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-08-22","5564","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4500","","","","","","","","","","","","","","","","","","","",""
"2017-08-23","5542","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-08-24","5578","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1760","","","","","","","","","","","","","","","","","","","",""
"2017-08-25","5536","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","41.03","","","","","","","","","","","","","","",""
"2017-08-28","5536","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-08-29","5486","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2017-08-30","5452","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450","","","","","","","","","","","","","","","","","","","",""
"2017-08-31","5470","1810551","205079","45.75","19.74","0.32","","","","","","","","","","","","","","","","","","","","","","","","1000","8697","186474","195171","42601","","111140","885430","122129","1056571","233269","1942001","414308","105180","","","","","","",""
"2017-09-01","5524","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400","","","","","41.98","","","","","","","","","","","","","","",""
"2017-09-04","5534","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-09-05","5566","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","","","","","","","","","","","","","","","","","","","",""
"2017-09-06","5556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-09-07","5538","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2017-09-08","5504","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","43.32","","","","","","","","","","","","","","",""
"2017-09-11","5650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000","","","","","","","","","","","","","","","","","","","",""
"2017-09-12","5662","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000","","","","","","","","","","","","","","","","","","","",""
"2017-09-13","5690","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000","","","","","","","","","","","","","","","","","","","",""
"2017-09-14","5808","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","",""
"2017-09-15","5784","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","42.84","","","","","","","","","","","","","","",""
"2017-09-18","5744","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-09-19","5760","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-09-20","5720","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-09-21","5666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-09-22","5628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","36.18","","","","","","","","","","","","","","",""
"2017-09-25","5592","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-09-26","5606","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-09-27","5638","","","","","","","","","","","","","","","","","","","","","","","","","","","","","550","","","","","","","","","","","","","","","","","","","",""
"2017-09-28","5494","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-09-29","5524","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","","","","","40.13","","","","","","","","","","","","","","",""
"2017-09-30","","1779918","190895","46.01","19.7","0.32","","","","","","","","","","","","","","","","","","","","","","","","","10799","188956","199755","39705","","104498","953689","120128","1066816","224626","2020505","405931","92191","","","","","","",""
"2017-10-09","5582","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-10-10","5546","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-10-11","5510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2017-10-12","5576","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
